park,assassination,theft,gang_rape,burglary,rape,assualt_attack,harassment(sexual),totalcrime,long,lat,area,crime/area
MONTBELLIER PARK,0,0,0,0,0,1,0,1,,,QUEENS       ,4.427
QUARRY BALLFIELDS,0,0,0,0,0,0,0,0,,,BRONX        ,4.417
RICHMAN (ECHO) PARK,0,0,0,1,0,1,0,3,,,BRONX        ,4.385
JEROME PARK,0,0,0,0,0,0,0,0,,,BRONX        ,4.359
CORLEARS HOOK PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,4.355
"PHIL ""SCOOTER"" RIZZUTO PARK",0,0,0,0,0,0,0,0,,,QUEENS       ,4.353
ASPHALT GREEN,0,0,0,0,0,0,0,0,,,MANHATTAN    ,4.35
FABER POOL AND PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,4.339
MACHATE CIRCLE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,4.32
HAMILTON FISH PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,4.3
TIFFANY STREET PIER,0,0,0,0,0,0,0,0,,,BRONX        ,4.231
KINGDOM POND PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,4.22
COLUMBUS PARK BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,4.14
STAPLETON PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,4.096
STERNBERG PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,4.044
COLUCCI PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,4
NORTHERLEIGH PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.955
STUYVESANT SQUARE,0,0,0,0,0,1,0,1,,,MANHATTAN    ,3.928
LAST CHANCE POND PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.903
FORDHAM LANDING PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,3.9
CHELSEA PARK,0,0,0,0,0,0,3,3,,,MANHATTAN    ,3.9
NORTH 5TH STREET PIER AND PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.882
HAGGERTY PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,3.867
JACOB H. SCHIFF PLAYGROUND,0,0,0,0,0,2,0,2,,,MANHATTAN    ,3.852
GRANT PARK,0,0,0,0,0,1,0,1,,,BRONX        ,3.85
EAST ELMHURST PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,3.827
JOSEPH AUSTIN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,3.814
UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD,0,0,0,0,0,0,0,0,,,QUEENS       ,3.809
LINCOLN CENTER PLAZA,0,0,0,0,0,0,0,0,,,MANHATTAN    ,3.8
INGRAM WOODS,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.77
FARM PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,3.757
HINTON PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,3.735
LOUIS PASTEUR PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,3.673
WHITEY FORD FIELD,0,0,0,0,0,0,0,0,,,QUEENS       ,3.622
POMONOK PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,3.596
CLAWSON PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.593
BENNETT REST,0,0,0,0,0,0,0,0,,,MANHATTAN    ,3.567
GOVERNOR SMITH PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,3.564
PAERDEGAT PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.56
AMERSFORT PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.557
CITY LINE PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.552
BAILEY PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,3.533
NAUTILUS PLAYGROUND QUEENS,0,0,0,0,0,0,0,0,,,QUEENS       ,3.52
VINMONT VETERAN PARK,0,0,0,0,0,0,0,0,,,BRONX        ,3.5
MCDONALD PLAYGROUND BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.485
THE OLDE TOWNE OF FLUSHING BURIAL GROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,3.474
WEGENER PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.464
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET,0,0,0,0,0,0,0,0,,,QUEENS       ,3.43
JULIO CARBALLO FIELDS,0,0,0,0,0,0,0,0,,,BRONX        ,3.428
GRADY PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.403
ST. MICHAEL'S PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,3.4
BREININGER PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,3.4
CO-OP CITY FIELD,0,0,0,0,0,0,0,0,,,BRONX        ,3.4
GREENWOOD PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.39
ST. ANDREW'S PLAYGROUND,0,0,0,0,0,0,1,1,,,BROOKLYN     ,3.38
SEWARD PARK,0,0,0,0,0,0,0,1,,,MANHATTAN    ,3.361
BEHAGEN PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,3.348
DUGAN PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.333
EVERGREEN PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,3.32
JOHN JAY PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,3.312
UNIVERSITY WOODS,0,0,0,0,0,0,0,0,,,BRONX        ,3.306
WATSON GLEASON PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,3.301
TOTTENVILLE POOL,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.259
VITO LOCASCIO FIELD,0,0,0,0,0,0,0,0,,,QUEENS       ,3.258
CALLAHAN-KELLY PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.253
JUDGE MOSES WEINSTEIN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,3.25
COLUMBUS PARK AT MANHATTAN,0,0,0,0,0,0,1,2,,,MANHATTAN    ,3.233
GREENCROFT PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.23
SARATOGA PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.214
SCARANGELLA PARK,0,0,0,0,0,0,0,2,,,BROOKLYN     ,3.214
BILL BROWN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.214
JAMAICA PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,3.21
NOBLE PLAYGROUND,0,0,0,0,0,1,0,1,,,BRONX        ,3.21
MARCY PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.201
LYONS POOL,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.195
WAYANDA PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,3.17
AMERICAN VETERANS MEMORIAL PIER,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.169
HOLCOMBE RUCKER PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,3.125
JESSE OWENS PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.1
EAST RIVER WALK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,3.089
PARK OF THE AMERICAS,0,0,0,0,0,1,0,1,,,QUEENS       ,3.076
BROOKLYN HEIGHTS PROMENADE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.035
J.J. BYRNE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.03
HERO PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.024
NOSTRAND PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,3.023
FORT INDEPENDENCE PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,3.02
BROWNSVILLE PLAYGROUND,0,0,0,0,0,0,0,1,,,BROOKLYN     ,3.017
GRANDVIEW PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,3.014
LAWRENCE VIRGILIO PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,3.009
JACOB JOFFE FIELDS,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.984
CLASSON PLAYGROUND AT CLASSON AVENUE & KENT,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.982
UTOPIA PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.98
BATH BEACH PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.964
GLEN OAKS OVAL,0,0,0,0,0,0,0,0,,,QUEENS       ,2.948
POSEIDON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.944
MERRIAM PLAYGROUND,0,0,0,0,0,1,0,1,,,BRONX        ,2.944
ROBERT E. VENABLE PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.939
LEFFERTS PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.937
WALT WHITMAN PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.913
WESTERLEIGH PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.889
PETERS FIELD,0,0,0,0,0,0,0,0,,,QUEENS       ,2.872
DELPHIN H. GREENE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.861
HOFFMAN PARK,0,0,0,0,0,0,0,2,,,QUEENS       ,2.857
MARKHAM PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.836
SPERANDEO BROTHERS PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.799
BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,0,0,0,0,0,0,0,1,,,BROOKLYN     ,2.783
IRVING SQUARE PARK,0,0,0,0,0,0,1,1,,,BROOKLYN     ,2.76
ST. VARTAN PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.759
RAVENSWOOD PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.758
GORMAN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.755
LOUIS CUVILLIER PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.752
GRACE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.744
GREEN CENTRAL KNOLL,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.741
DETECTIVE WILLIAM T. GUNN PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,2.719
HOLY COW PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.7
BAYSIDE FIELDS,0,0,0,0,0,0,0,0,,,QUEENS       ,2.69
HICKMAN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.656
ARBUTUS WOODS PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.65
STARS & STRIPES PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,2.646
P.O. SERRANO PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,2.618
COLEMAN PLAYGROUND,0,0,0,0,0,0,1,1,,,MANHATTAN    ,2.61
MARGARET I. CARMAN GREEN - WEEPING BEECH,0,0,0,0,0,1,0,1,,,QUEENS       ,2.6
KATHY REILLY TRIANGLE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.589
RIVERDALE PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,2.58
MARIE CURIE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,2.552
EDENWALD PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,2.537
THOMAS GREENE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.525
MURRAY PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.524
BIG BUSH PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,2.5
BATHGATE PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,2.5
JOSEPH RODMAN DRAKE PARK,0,0,0,0,0,0,0,0,,,BRONX        ,2.49
INDEPENCE PARK SYLVAN GROVE CEMETERY,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.476
ALLEY PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,2.446
FREDERICK JOHNSON PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.445
DAMROSCH PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.443
ASSER LEVY PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.436
HARRY MAZE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.427
LOST BATTALION HALL RECREATION CENTER,0,0,0,0,0,0,0,0,,,QUEENS       ,2.412
DUTCH KILLS PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.4
KOSCIUSZKO POOL,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.391
WEST PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.387
HOMECREST PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.372
DE MATTI PLAYGROUND,0,0,0,0,0,0,0,1,,,STATEN ISLAND,2.335
POE PARK,0,0,0,0,0,0,1,1,,,BRONX        ,2.331
OVERLOOK PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,2.327
BARUCH PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.32
RAILROAD PLAYGROUND,0,0,0,0,0,0,0,1,,,BROOKLYN     ,2.3
OSBORN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.3
FLOYD PATTERSON BALLFIELDS,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.3
TRIBORO PLAZA,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.3
POWER PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.295
MONSIGNOR CRAWFORD FIELD,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.291
MARTIN LUTHER KING JR. PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.29
P.O. REINALDO SALGADO PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.289
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.288
CENTURY PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.282
SOUTH PACIFIC PLAYGROUND,0,0,0,0,0,0,0,1,,,BROOKLYN     ,2.264
NORTH SHORE ESPLANADE,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.252
FOX PLAYGROUND BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.25
VLEIGH PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.243
LAREDO AVENUE PARCEL,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.223
FREDERICK B. JUDGE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.217
BELMONT PLAYGROUND BRONX,0,0,0,0,0,0,0,0,,,BRONX        ,2.213
MAHONEY PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.21
ANCHORAGE PLAZA,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.2
ASTORIA HEIGHTS PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.2
HOYT PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.2
LORETO PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,2.181
HARDING PARK,0,0,0,0,0,0,0,0,,,BRONX        ,2.16
WASHINGTON MARKET PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.15
VIDALIA PARK,0,0,0,0,0,0,0,0,,,BRONX        ,2.136
UNNAMED PARK ON E 122ND STREET,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.13
BRIDGE PARK BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.117
HAMILTON METZ FIELD,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.112
CARDOZO PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.096
CENTREVILLE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.095
REDFERN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.093
SHEEPSHEAD PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,2.087
STORY PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,2.075
SAKURA PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,2.067
LINNAEUS PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,2.066
CASTLEWOOD PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.059
SKYLINE PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.057
CLOVE'S TAIL,0,0,0,0,0,0,0,0,,,STATEN ISLAND,2.056
DANIEL M. O'CONNELL PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.043
CHALLENGE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.035
TORSNEY PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.027
LOCUST MANOR PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,2.003
PLAYGROUND ONE THIRTY FOUR CXXXIV,0,0,0,0,0,0,0,0,,,BRONX        ,2
FULTON PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.987
ANDREW HASWELL GREEN PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.984
MOORE HOMESTEAD PLAYGROUND,0,0,0,0,0,0,1,1,,,QUEENS       ,1.978
MCLAUGHLIN PARK,0,0,0,0,0,0,0,1,,,BROOKLYN     ,1.976
COLONEL DAVID MARCUS PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.974
SUMNER PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.97
ROSEMARY'S PLAYGROUND,0,0,0,0,0,0,1,1,,,QUEENS       ,1.967
SAUL WEPRIN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.964
FREDERICK DOUGLASS PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.945
UNNAMED PARK ON HEMPSTEAD AVENUE,0,0,0,0,0,0,0,0,,,QUEENS       ,1.94
BRIDGE PARK 3,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.934
THE PAINTER'S PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.932
ROBERTO CLEMENTE BALLFIELD,0,0,0,0,0,0,1,1,,,BROOKLYN     ,1.93
TERRACE PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.922
TRAVERS PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.919
BUFANO PARK,0,0,0,0,0,0,0,0,,,BRONX        ,1.904
DIMATTINA PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.9
HERMAN DOLGON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.894
GORMAN PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.89
WILLIS PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.882
WEST BRONX RECREATION CENTER,0,0,0,0,0,0,0,0,,,BRONX        ,1.88
THOMAS PAINE PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.875
CARROLL PARK,0,0,0,0,0,0,0,1,,,BROOKLYN     ,1.874
COLGATE CLOSE,0,0,0,0,0,0,0,0,,,BRONX        ,1.871
LONDON PLANETREE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.837
SUTTER BALLFIELDS,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.836
TAAFFE PLAYGROUND,0,0,0,0,0,1,0,1,,,BROOKLYN     ,1.821
GIVAN SQUARE,0,0,0,0,0,0,0,0,,,BRONX        ,1.82
THOMAS BOYLAND PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.82
HAROLD ICKES PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.816
REV J POLITE PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.815
MAPES BALLFIELD,0,0,0,0,0,0,0,0,,,BRONX        ,1.806
MIDLAND MALLS,0,0,0,0,0,0,0,0,,,QUEENS       ,1.803
CEDAR PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.8
BENNETT PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.8
CONCH PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.8
RAYMOND BUSH PLAYGROUND,0,0,0,0,0,1,1,3,,,BROOKLYN     ,1.795
PLAYGROUND 52 LII,0,0,0,0,0,0,0,1,,,BRONX        ,1.793
DR. GREEN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.791
BRUST PARK,0,0,0,0,0,0,0,0,,,BRONX        ,1.79
LAURELTON PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.785
MANOR PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.78
SIMEONE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.78
TAPPEN PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.777
LUNA PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.76
ALFRED E. SMITH PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.75
ELECTRIC PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.749
YELLOWSTONE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.745
CORONA GOLF PLAYGROUND,0,0,0,0,0,1,0,1,,,QUEENS       ,1.722
WILSON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.721
NORTHERN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.719
BARTEL-PRITCHARD SQUARE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.711
DOUGHBOY PLAZA,0,0,0,0,0,0,0,0,,,QUEENS       ,1.71
CASTLE HILL LITTLE LEAGUE FIELD,0,0,0,0,0,0,0,0,,,BRONX        ,1.707
GRAND FERRY PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.7
HAPPY WARRIOR PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.7
ALLEN MALL ONE,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.698
PLAYGROUND ONE TWENTY FIVE CXXV,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.691
STAR SPANGLED PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.687
PATTERSON PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.683
MOUNT EDEN MALLS,0,0,0,0,0,0,0,0,,,BRONX        ,1.682
MIDLAND PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.681
ADAM CLAYTON POWELL JR. MALLS,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.679
BANNEKER PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.67
JAMES J WALKER PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.67
WHITESTONE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.662
EQUITY PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.657
THURSBY BASIN PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.657
BELL MALLS,0,0,0,0,0,0,0,0,,,QUEENS       ,1.652
LEIF ERICSON FIELDS,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.65
NEHEMIAH PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.648
MARBLE HILL PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.646
WAGNER HOUSES POOL,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.64
HARLEM LANE PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.635
CROWLEY PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.633
BURNS PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.623
100% PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.616
JACKIE ROBINSON PARK BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.607
IDA COURT,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.6
JENNIFER'S PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.6
REAL GOOD PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.598
ALLERTON PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.597
OCEAN HILL PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.595
BELLEVUE SOUTH PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.593
MAZZEI PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.59
DAG HAMMARSKJOLD PLAZA,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.59
KOLBERT PLAYGROUND,0,0,0,0,0,0,1,1,,,BROOKLYN     ,1.581
POOR RICHARD'S PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.58
OLMSTED-BEIL HOUSE PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.58
JOAN OF ARC PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.578
TAYLOR PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.578
HARMONY PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.56
BRIARWOOD PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.558
CLINTONVILLE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.553
FLATBUSH MALLS,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.55
WASHINGTON PARK BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.549
JOHN HANCOCK PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.547
FRANK D. O'CONNOR PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.537
OLD TOWN PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.534
HUGUENOT PONDS PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.53
REIFF PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.529
RUSSELL SAGE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.526
ROGER MORRIS PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.524
BROAD CHANNEL PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.52
SPUYTEN DUYVIL PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.51
JOHN ALLEN PAYNE PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.51
BULOVA PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.502
GOLCONDA PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.5
MAPLE GROVE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.5
DECATUR PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.5
