park,assassination,theft,gang_rape,burglary,rape,assualt_attack,harassment(sexual),totalcrime,long,lat,area,crime/area
ISLE OF MEADOWS,0,0,0,0,0,0,0,0,,,STATEN ISLAND,87.516
CALVERT VAUX PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,85.527
PUGSLEY CREEK PARK,0,0,0,0,0,0,0,0,,,BRONX        ,83.615
SNUG HARBOR CULTURAL CENTER,0,0,0,0,0,0,0,0,,,STATEN ISLAND,83.3
MOSHOLU PARKWAY,0,0,0,0,0,0,0,0,,,BRONX        ,80.936
MCGUIRE FIELDS,0,0,0,0,0,0,0,0,,,BROOKLYN     ,77.181
FRESH CREEK NATURE PRESERVE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,77.044
JACKIE ROBINSON PARKWAY,0,0,0,0,0,0,0,0,,,BROOKLYN/QUEENS,72.75
FORT TRYON PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,67.213
RIVERSIDE PARK SOUTH,0,0,0,0,0,0,1,1,,,MANHATTAN    ,66.693
EASTERN PARKWAY,0,0,0,0,0,0,0,0,,,BROOKLYN     ,65.7
FOUR SPARROW MARSH,0,0,0,0,0,0,0,0,,,BROOKLYN     ,64.665
FORT TOTTEN PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,60.394
ASTORIA PARK,0,0,0,0,0,0,0,1,,,QUEENS       ,59.956
LAURELTON PARKWAY,0,0,0,0,0,0,0,0,,,QUEENS       ,59.612
RED HOOK RECREATION AREA,0,0,0,0,0,0,0,0,,,BROOKLYN     ,58.503
SHORE PARK AND PARKWAY,0,0,0,0,0,0,0,0,,,BROOKLYN     ,58
SPRING CREEK PARK ADDITION,0,0,0,0,0,0,0,0,,,BROOKLYN/QUEENS,57.921
JUNIPER VALLEY PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,55.639
LITTLE BAY PARK,0,1,0,0,0,0,0,1,,,QUEENS       ,55.22
POWELL'S COVE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,55.023
HENRY HUDSON PARKWAY,0,0,0,0,0,0,0,0,,,BRONX        ,54.1
HARLEM RIVER PARK,0,0,0,1,0,5,1,7,,,MANHATTAN    ,53.967
DUBOS POINT WILDLIFE SANCTUARY,0,0,0,0,0,0,0,0,,,QUEENS       ,53.298
ROY WILKINS RECREATION CENTER,0,0,0,0,0,1,0,1,,,QUEENS       ,53.238
REED'S BASKET WILLOW SWAMP PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,52.375
BROOKLYN BOTANIC GARDEN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,47.57
MEREDITH WOODS,0,0,0,0,0,0,0,0,,,STATEN ISLAND,47.521
QUEENS FARM PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,47.08
EAST RIVER PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,45.88
CROCHERON PARK,0,0,0,0,0,0,1,1,,,QUEENS       ,45.79
MACOMBS DAM PARK,0,0,0,0,0,0,0,0,,,BRONX        ,44.174
MANHATTAN BEACH PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,42.941
UDALL'S PARK PRESERVE,0,0,0,0,0,0,0,0,,,QUEENS       ,42.768
FAIRVIEW PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,42.6
BAYSWATER PARK,0,0,0,0,0,1,0,1,,,QUEENS       ,40.07
DEERE PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,39.779
PARADE GROUND,0,0,0,0,0,0,0,1,,,BROOKLYN     ,39.5
CLAREMONT PARK,0,0,0,0,0,2,0,2,,,BRONX        ,38.536
BROAD CHANNEL WETLANDS,0,0,0,0,0,0,0,0,,,QUEENS       ,37.95
CONEY ISLAND BOAT BASIN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,36.81
BUNKER PONDS PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,36.691
SETON FALLS PARK,0,0,0,0,0,0,0,0,,,BRONX        ,35.771
MCCARREN PARK,0,0,1,0,1,0,1,5,,,BROOKLYN     ,35.713
ST. MARY'S PARK BRONX,0,0,1,0,1,0,0,2,,,BRONX        ,35.311
SHOOTERS ISLAND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,34.689
NORTH BROTHER ISLAND,0,0,0,0,0,0,0,0,,,BRONX        ,30.395
FORT GREENE PARK,0,0,0,0,0,0,0,1,,,BROOKLYN     ,30.168
BATTERY PARK CITY,0,0,0,0,0,0,1,1,,,MANHATTAN    ,29.99
MORNINGSIDE PARK,0,0,0,0,0,0,2,3,,,MANHATTAN    ,29.888
MACNEIL PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,28.87
ALLEY ATHLETIC PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,27.531
VERNAM BARBADOES PENINSULA,0,0,0,0,0,0,0,0,,,QUEENS       ,27.484
COLLEGE POINT FIELDS,0,0,0,0,0,0,0,0,,,QUEENS       ,26.83
KAISER PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,26.257
SUNSET PARK,0,0,0,0,0,1,0,3,,,BROOKLYN     ,24.498
OWL'S HEAD PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,24.218
SPRINGFIELD PARK,0,0,0,0,0,0,0,1,,,QUEENS       ,23.543
RECREATIONAL AREA,0,0,0,0,0,0,0,0,,,MANHATTAN    ,23.093
KING FISHER PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,23.01
SIEDENBURG PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,22.882
ST. NICHOLAS PARK,0,0,0,0,0,0,0,1,,,MANHATTAN    ,22.74
SOUTH BROTHER ISLAND,0,0,0,0,0,0,0,0,,,BRONX        ,22.16
LOCUST POINT MARINA,0,0,0,0,0,0,0,0,,,BRONX        ,22.07
BATTERY PARK,0,0,0,0,0,0,1,1,,,MANHATTAN    ,21.88
BROOKLYN BRIDGE PARK,0,0,0,0,0,1,3,6,,,BROOKLYN     ,21.185
ASSER LEVY PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,21.039
SEASIDE WILDLIFE NATURE PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,20.907
WAVE HILL,0,0,0,0,0,0,0,0,,,BRONX        ,20.867
QUEENSBRIDGE PARK,0,0,0,0,0,1,0,1,,,QUEENS       ,20.34
MARCUS GARVEY PARK,0,0,0,0,0,0,2,4,,,MANHATTAN    ,20.165
ISHAM PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,20.132
WILLIAMSBRIDGE OVAL,0,0,0,0,0,0,1,3,,,BRONX        ,19.749
BRANT POINT WILDLIFE SANCTUARY,0,0,0,0,0,0,0,0,,,QUEENS       ,19.556
BROAD CHANNEL AMERICAN PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,18.768
THEODORE ROOSEVELT PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,17.574
BENSONHURST PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,17.5
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,17.14
JOHN GOLDEN PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,17
BAYVIEW TERRACE PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,16.944
JONES WOODS PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,16.93
FRANCIS LEWIS PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,16.831
LEIF ERICSON PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,16.8
EIBS POND PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,16.505
RAILROAD PARK QUEENS,0,0,0,0,0,0,0,0,,,QUEENS       ,16.439
BREUKELEN BALLFIELDS,0,0,0,0,0,0,0,0,,,BROOKLYN     ,16.16
FRANZ SIGEL PARK,0,0,0,0,0,0,0,0,,,BRONX        ,15.99
THOMAS JEFFERSON PARK,0,0,0,0,0,2,0,3,,,MANHATTAN    ,15.524
ALICE AUSTEN PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,15.524
MILL POND PARK,0,0,0,0,0,0,0,0,,,BRONX        ,15.496
SHERMAN CREEK,0,0,0,0,0,0,1,1,,,MANHATTAN    ,15.383
HARRIS PARK,0,0,0,0,0,1,0,1,,,BRONX        ,15.32
GOODHUE,0,0,0,0,0,0,0,0,,,STATEN ISLAND,15.064
MULLALY PARK,1,0,0,0,0,0,0,2,,,BRONX        ,15.049
TREMONT PARK,0,0,0,0,0,0,0,0,,,BRONX        ,15
CARL SCHURZ PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,14.938
GRAND ARMY PLAZA BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,14.257
VON BRIESEN PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,13.938
MOTOR PARKWAY,0,0,0,0,0,0,0,0,,,QUEENS       ,13.894
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,0,0,0,0,0,0,0,0,,,QUEENS       ,13.826
BEACH 17 PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,13.75
TUDOR PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,13.543
AQUEDUCT WALK,0,0,0,0,0,0,0,1,,,BRONX        ,13.533
FATHER MACRIS PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,13.469
STARLIGHT PARK,0,0,0,0,0,4,0,4,,,BRONX        ,12.93
JACKIE ROBINSON PARK MANHATTAN,0,0,1,0,1,0,0,2,,,MANHATTAN    ,12.772
BROOKLYN MUSEUM,0,0,0,0,0,0,0,0,,,BROOKLYN     ,12.66
BEACH CHANNEL PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,12.624
GREENBELT NATIVE PLANT CENTER,0,0,0,0,0,0,0,0,,,STATEN ISLAND,12.247
BOWNE PARK,0,0,0,0,0,0,1,1,,,QUEENS       ,11.788
SETON PARK,0,0,0,0,0,0,0,0,,,BRONX        ,11.689
RUFUS KING PARK,0,0,0,0,0,1,0,1,,,QUEENS       ,11.5
FRANK GOLDEN PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,11.422
ST. JAMES PARK,0,0,0,0,0,0,0,0,,,BRONX        ,11.39
RICHMOND TERRACE WETLANDS,0,0,0,0,0,0,0,0,,,STATEN ISLAND,11.193
BARRETTO POINT PARK,0,0,0,0,0,0,0,0,,,BRONX        ,11.161
ST. ALBANS PARK,0,0,0,0,0,2,0,2,,,QUEENS       ,10.79
GEMINI FIELDS,0,0,0,0,0,0,0,0,,,QUEENS       ,10.761
